UF	SF	freq
ɡoʊ	ɡoʊ	5433
ɡɛt	ɡɛt	4106
kʌm	kʌm	3987
si	si	3925
pʊt	pʊt	3048
mɑmi	mɑmi	3026
seɪ	seɪ	2955
lʊk	lʊk	2730
ɡʊd	ɡʊd	2619
wɑnt	wɑnt	2348
lɪtəl	lɪɾəl	2207
du	du	2168
beɪbi	beɪbi	2006
noʊ	noʊ	1786
hæv	hæv	1772
ɡɑt	ɡɑt	1766
pleɪ	pleɪ	1293
mɔr	mɔr	1220
bɪɡ	bɪɡ	1132
ɡoʊɪŋ	ɡoʊɪŋ	1122
duɪŋ	duɪŋ	1109
bɔɪ	bɔɪ	1097
wʌn	wʌn	1091
hɛnri	hɛnri	1068
bɔl	bɔl	1063
kɪti	kɪɾi	1063
teɪk	teɪk	1020
θɪŋk	θɪŋk	998
it	it	995
bʊk	bʊk	976
ɡəɹl	ɡəɹl	795
lɛt	lɛt	755
mɑmə	mɑmə	743
wɔtəɹ	wɔɾəɹ	728
sɪt	sɪt	718
rɛdi	rɛdi	702
oʊkeɪ	oʊkeɪ	680
ɡɪv	ɡɪv	661
raɪt	rʌɪt	655
dʌn	dʌn	599
hoʊld	hoʊld	575
noʊz	noʊz	561
dædi	dædi	558
weɪ	weɪ	551
naɪs	nʌɪs	546
fit	fit	536
təɹn	təɹn	527
maʊθ	maʊθ	508
rɛd	rɛd	503
meɪk	meɪk	498
taɪm	taɪm	487
mɔrɡən	mɔrɡən	468
dʒus	dʒus	456
stʌf	stʌf	449
hɛd	hɛd	448
ɡɛtɪŋ	ɡɛɾɪŋ	443
ɡoʊz	ɡoʊz	426
bɛr	bɛr	418
ups	ups	416
ʌðəɹ	ʌðəɹ	409
fʊt	fʊt	402
hændz	hændz	401
stɑp	stɑp	400
hɛr	hɛr	398
traɪ	traɪ	397
θroʊ	θroʊ	396
traɪɪŋ	traɪɪŋ	393
mæɡi	mæɡi	389
oʊpən	oʊpən	379
faɪnd	faɪnd	376
bʌni	bʌni	375
dɔɡi	dɔɡi	370
nid	nid	369
weɪt	weɪt	366
θɪŋ	θɪŋ	364
hænd	hænd	360
sɛz	sɛz	358
tədeɪ	tədeɪ	352
hʌni	hʌni	350
lʌv	lʌv	349
daɪpəɹ	dʌɪpəɹ	347
dɪd	dɪd	344
mændi	mændi	341
swithɑrt	swithɑrt	340
wɑtʃ	wɑtʃ	340
bum	bum	337
tʃɛr	tʃɛr	336
ʃuz	ʃuz	334
dɔr	dɔr	323
hir	hir	320
kɑr	kɑr	317
jʌmi	jʌmi	310
tɛl	tɛl	306
pʊʃ	pʊʃ	304
switi	swiɾi	301
stɑp	stɑp	298
wɛnt	wɛnt	296
wɑʃ	wɑʃ	293
mɪnət	mɪnət	292
hɛlp	hɛlp	292
hæd	hæd	292
kɛrfəl	kɛrfəl	292
pu	pu	291
lʊkɪŋ	lʊkɪŋ	275
feɪs	feɪs	274
tɔɪ	tɔɪ	274
rɛd	rɛd	274
hɑt	hɑt	273
ɡrin	ɡrin	272
muv	muv	266
sɪli	sɪli	264
kip	kip	263
kloʊs	kloʊs	262
jɛloʊ	jɛloʊ	260
wɔk	wɔk	259
dɔɡ	dɔɡ	257
sɑri	sɑri	257
haʊs	haʊs	256
blu	blu	255
tiθ	tiθ	253
tʃiz	tʃiz	253
kʌp	kʌp	253
deɪ	deɪ	253
fud	fud	253
sɛd	sɛd	252
fʌni	fʌni	248
kaʊ	kaʊ	248
mɪlk	mɪlk	248
pʊl	pʊl	247
liv	liv	246
stænd	stænd	245
fɪʃ	fɪʃ	245
bɑtəl	bɑɾəl	244
mu	mu	244
pɪɡi	pɪɡi	243
tɔɪz	tɔɪz	243
spun	spun	241
kʌmɪŋ	kʌmɪŋ	240
mɪstəɹ	mɪstəɹ	240
fil	fil	240
fɔl	fɔl	235
flɔr	flɔr	235
miaʊ	miaʊ	233
θɪŋz	θɪŋz	231
tɪkəl	tɪkəl	230
swit	swit	230
pipəl	pipəl	227
wi	wi	227
dɑdɑ	dɑdɑ	227
pleɪɪŋ	pleɪɪŋ	226
bi	bi	224
kɪs	kɪs	224
bɪt	bɪt	222
həɹt	həɹt	221
baɪt	bʌɪt	221
dəɹti	dəɹti	220
rɔŋ	rɔŋ	220
bɛtəɹ	bɛɾəɹ	219
klin	klin	218
hæt	hæt	216
koʊld	koʊld	214
ælɪɡzændəɹ	ælɪɡzændəɹ	212
klin	klin	210
hæz	hæz	210
bɛd	bɛd	206
bʌs	bʌs	205
bɛli	bɛli	205
kʌmz	kʌmz	203
oʊld	oʊld	201
nu	nu	198
ɡɑd	ɡɑd	198
roʊl	roʊl	198
bəɹd	bəɹd	195
sɪŋ	sɪŋ	195
