UF	SF	Freq
ju	ju	575231
ðə	ðə	397470
ə	ə	291950
ɪt	ɪt	279552
ənd	ə̃nd	211285
aɪ	aɪ	208857
ðæt	ðæt	200097
wʌt	wʌt	197195
tu	tu	184692
ɪz	ɪz	151063
du	du	150096
oʊ	oʊ	143711
ɪn	ɪ̃n	126927
ɑn	ɑ̃n	124692
ðɪs	ðɪs	110303
noʊ	noʊ	105173
wi	wi	101820
ɑr	ɑr	99526
jɔr	jɔr	99407
ðɛr	ðɛr	93152
kæn	kæ̃n	89719
wʌn	wʌ̃n	83794
hi	hi	82730
ʌv	ʌv	81876
laɪk	laɪk	78644
goʊ	goʊ	77054
hæv	hæv	75470
oʊkeɪ	oʊkeɪ	74924
jæ	jæ	71667
si	si	65975
raɪt	raɪt	65518
lʊk	lʊk	64061
nɑt	nɑt	62388
mi	mi	62122
hir	hir	61861
noʊ	noʊ	61542
wɪð	wɪð	59885
pʊt	pʊt	59062
fɔr	fɔr	56870
naʊ	naʊ	55586
gɑt	gɑt	55328
ðeɪ	ðeɪ	55051
θɪŋk	θɪ̃ŋk	53853
goʊɪŋ	goʊɪ̃ŋ	53791
wɛl	wɛl	53472
gɛt	gɛt	52673
ʌp	ʌp	51800
ɔl	ɔl	49630
wɑz	wɑz	49124
æt	æt	48262
jɛs	jɛs	46603
dʒʌst	dʒʌst	44565
ʃi	ʃi	43668
soʊ	soʊ	43222
sʌm	sʌ̃m	42896
ðɛn	ðɛ̃n	42876
bi	bi	42070
wɑnə	wɑ̃nə	41840
kʌm	kʌ̃m	41553
gʊd	gʊd	41045
aʊt	aʊt	38555
lɪtəl	lɪtəl	37517
wɑnt	wɑ̃nt	36180
bʌt	bʌt	35104
ðɛm	ðɛ̃m	33832
maɪ	maɪ	33750
wɛr	wɛr	32553
ɪf	ɪf	31192
haʊ	haʊ	30872
daʊn	daʊ̃n	29376
hɝ	hɝ	29207
wɛn	wɛ̃n	28783
seɪ	seɪ	28184
vɛri	vɛri	27546
gɑnə	gɑ̃nə	27178
əbaʊt	əbaʊt	26750
mɔr	mɔr	26683
bɪg	bɪg	25384
bæk	bæk	24446
hɪz	hɪz	24176
hɪm	hɪ̃m	23572
waɪ	waɪ	23306
ɔr	ɔr	23190
bɪkɔz	bɪkɔz	22277
hu	hu	21988
duɪŋ	duɪ̃ŋ	21768
tɛl	tɛl	21401
beɪbi	beɪbi	21254
pleɪ	pleɪ	21247
oʊvɝ	oʊvɝ	21234
tu	tu	20810
tu	tu	20805
meɪk	meɪk	20084
it	it	20016
ɔf	ɔf	19978
hæftə	hæftə	19810
naɪs	naɪs	19436
ðiz	ðiz	19400
teɪk	teɪk	18940
əmhəm	ə̃mhə̃m	18494
ðoʊz	ðoʊz	18076
hʌ	hʌ	18047
tɑməs	tɑ̃məs	18005
wɝ	wɝ	17502
ɛls	ɛls	17189
həm	hə̃m	15832
ʃæl	ʃæl	15590
rɪli	rɪli	15580
æz	æz	15465
ɔlraɪt	ɔlraɪt	15230
ʌðɝ	ʌðɝ	14605
hæz	hæz	14536
əgɛn	əgɛ̃n	14512
taɪm	taɪ̃m	14321
bɪt	bɪt	14318
wɪl	wɪl	14254
sʌmθɪŋ	sʌ̃mθɪ̃ŋ	14207
dædi	dædi	14029
bʊk	bʊk	13874
bɔɪ	bɔɪ	13600
kʊd	kʊd	13562
mʌmi	mʌ̃mi	13512
æn	æ̃n	13182
gɪv	gɪv	13008
sɪt	sɪt	13000
ənʌðɝ	ə̃nʌðɝ	12936
pliz	pliz	12887
lɛt	lɛt	12784
frʌm	frʌ̃m	12715
weɪ	weɪ	12656
haʊs	haʊs	11758
mɑmi	mɑ̃mi	11640
gɝl	gɝl	11585
kɑr	kɑr	11465
dʌn	dʌ̃n	11167
rɪmɛmbɝ	rɪ̃mɛ̃mbɝ	10868
ɛni	ɛ̃ni	10858
ɑ	ɑ	10815
tədeɪ	tədeɪ	10354
əweɪ	əweɪ	10287
goʊz	goʊz	10267
θri	θri	9967
bɛtɝ	bɛtɝ	9937
wɛnt	wɛ̃nt	9871
heɪ	heɪ	9859
nid	nid	9852
gɔn	gɔ̃n	9632
faɪnd	faɪ̃nd	9326
freɪzɝ	freɪzɝ	9195
dɑrlɪŋ	dɑrlɪ̃ŋ	9060
tɝn	tɝ̃n	9013
mʌtʃ	mʌtʃ	8998
wɪtʃ	wɪtʃ	8885
rɛd	rɛd	8606
meɪbi	meɪbi	8594
bɪn	bɪ̃n	8590
ʃʊd	ʃʊd	8512
wɔtɝ	wɔtɝ	8435
sɛz	sɛz	8397
dɪr	dɪr	8274
ʃʊr	ʃʊr	8187
hɛlp	hɛlp	8187
fɝst	fɝst	8182
min	mĩn	8152
θæŋk	θæ̃ŋk	8115
mæn	mæ̃n	7985
θɪŋ	θɪ̃ŋ	7914
bɑks	bɑks	7852
ɪntu	ɪ̃ntu	7834
hoʊm	hoʊ̃m	7833
blu	blu	7815
weɪt	weɪt	7782
traɪ	traɪ	7743
deɪ	deɪ	7717
həloʊ	həloʊ	7712
wɑtʃ	wɑtʃ	7541
stɪl	stɪl	7448
neɪm	neɪ̃m	7380
grin	grĩn	7337
