UF	SF	Freq
das.	das.	41343
ɪst.	ɪst.	34409
di.	di.	31769
du.	du.	30125
ja.	ja.	29115
ʊnd.	ʊnt.	26028
ɪx.	ɪx.	24797
mal.	mal.	24728
vas.	vas.	23142
der.	der.	22247
da.	da.	21913
ain.	ain.	20637
vir.	vir.	17436
nɪxt.	nɪxt.	17139
nɔx.	nɔx.	15454
zo.	zo.	15433
aux.	aux.	13581
hir.	hir.	12505
jɛtst.	jɛtst.	11889
ɛs.	ɛs.	10895
dan.	dan.	10098
ai.nɘ.	ai.nɘ.	9099
mɪt.	mɪt.	8788
den.	den.	8640
auf.	auf.	7572
ɪn.	ɪn.	7115
dɛn.	dɛn.	6760
hast.	hast.	6340
hat.	hat.	6249
a.bɘr.	a.bɘr.	6046
gantz.	gants.	5956
o.dɘr.	o.dɘr.	5879
vo.	vo.	5623
dem.	dem.	5524
ha.bɘn.	ha.bɘn.	5470
zɪnd.	zɪnt.	5470
ma.xɘn.	ma.xɘn.	5397
ʃon.	ʃon.	5040
dɔx.	dɔx.	5016
gɘ.nau.	gɘ.nau.	4958
vi.dɘr.	vi.dɘr.	4915
zi.	zi.	4721
vi.	vi.	4462
ai.nɘn.	ai.nɘn.	4294
kan.	kan.	4242
man.	man.	4113
tsu.	tsu.	4042
glau.bɘ.	glau.bɘ.	3971
mʊs.	mʊs.	3938
gut.	gut.	3766
aus.	aus.	3751
nain.	nain.	3538
dir.	dir.	3454
ver.	ver.	3414
fyr.	fyr.	3280
var.	var.	3269
vɛn.	vɛn.	3180
an.	an.	3033
my.sɘn.	my.sɘn.	3031
zɔl.	zɔl.	2949
maxt.	maxt.	2898
er.	er.	2798
gɘ.ra.dɘ.	gɘ.ra.dɘ.	2719
ha.bɘ.	ha.bɘ.	2716
mir.	mir.	2626
zɔ.lɘn.	zɔ.lɘn.	2567
fi.laixt.	fi.laixt.	2513
hɔy.tɘ.	hɔy.tɘ.	2485
mʊst.	mʊst.	2395
get.	get.	2362
fɔn.	fɔn.	2359
kɔmt.	kɔmt.	2328
kɔm.	kɔm.	2273
glaix.	glaix.	2253
drauf.	drauf.	2220
das.	das.	2218
bɪst.	bɪst.	2179
vais.	vais.	2134
kœ.nɘn.	kœ.nɘn.	2128
nax.	nax.	2124
kanst.	kanst.	2119
gʊ.kɘn.	gʊ.kɘn.	2098
zɪx.	zɪx.	2090
mer.	mer.	1988
fɛrt.	fɛrt.	1971
a.lɘs.	a.lɘs.	1915
vaist.	vaist.	1892
nur.	nur.	1860
gɘ.maxt.	gɘ.maxt.	1855
vɪlst.	vɪlst.	1833
vɪrd.	vɪrt.	1799
ɪ.mɘr.	ɪ.mɘr.	1789
vɔ.lɘn.	vɔ.lɘn.	1777
maxst.	maxst.	1760
dɪx.	dɪx.	1737
zit.	zit.	1721
tsvai.	tsvai.	1697
drɪn.	drɪn.	1648
bai.	bai.	1645
a.lɘ.	a.lɘ.	1637
gar.	gar.	1616
ʃøn.	ʃøn.	1585
ɔb.	ɔp.	1578
vail.	vail.	1566
fa.rɘn.	fa.rɘn.	1558
ai.gɘnt.lɪx.	ai.gɘnt.lɪx.	1516
au.to.	au.to.	1506
her.	her.	1487
rain.	rain.	1487
gipt.	gipt.	1478
hɪn.	hɪn.	1472
mainst.	mainst.	1470
va.rʊm.	va.rʊm.	1470
tsug.	tsuk.	1458
ir.	ir.	1380
ze.ɘn.	ze.ɘn.	1372
zer.	zer.	1354
kʊrtz.	kʊrts.	1349
ɛ.sɘn.	ɛ.sɘn.	1297
var.tɘ.	var.tɘ.	1297
dran.	dran.	1290
dai.nɘ.	dai.nɘ.	1278
kai.nɘ.	kai.nɘ.	1265
da.mɪt.	da.mɪt.	1256
zain.	zain.	1212
ɛxt.	ɛxt.	1204
o.bɘn.	o.bɘn.	1186
mɪx.	mɪx.	1181
fil.	fil.	1170
klai.nɘ.	klai.nɘ.	1149
dʊrx.	dʊrx.	1125
pa.pa.	pa.pa.	1115
ʃnɛl.	ʃnɛl.	1105
ʃtɪmt.	ʃtɪmt.	1078
ʊns.	ʊns.	1067
vɪl.	vɪl.	1056
bɪ.tɘ.	bɪ.tɘ.	1045
ma.ma.	ma.ma.	1032
tsim.lɪx.	tsim.lɪx.	1023
bɪn.	bɪn.	1010
ai.nɘm.	ai.nɘm.	1008
vɛg.	vɛk.	1004
als.	als.	999
al.zo.	al.zo.	985
raus.	raus.	984
an.dɘ.rɘ.	an.dɘ.rɘ.	975
bau.ɘn.	bau.ɘn.	968
dain.	dain.	952
las.	las.	949
ain.mal.	ain.mal.	933
ʊm.	ʊm.	930
kain.	kain.	923
pas.	pas.	918
zɔnst.	zɔnst.	909
fi.lɘ.	fi.lɘ.	908
ain.fax.	ain.fax.	901
zist.	zist.	899
gɛr.nɘ.	gɛr.nɘ.	898
ver.dɘn.	ver.dɘn.	898
vɪrk.lɪx.	vɪrk.lɪx.	894
ai.nɘr.	ai.nɘr.	893
nɛm.lɪx.	nɛm.lɪx.	886
nɪxts.	nɪxts.	882
rɪx.tɪx.	rɪx.tɪx.	879
klai.nɘn.	klai.nɘn.	867
ma.lɘn.	ma.lɘn.	853
ne.mɘn.	ne.mɘn.	833
va.sɘr.	va.sɘr.	831
tɔl.	tɔl.	831
va.rɘn.	va.rɘn.	827
ge.ɘn.	ge.ɘn.	825
haist.	haist.	820
zu.pɘr.	zu.pɘr.	816
an.dɘ.rɘn.	an.dɘ.rɘn.	786
ma.xɘ.	ma.xɘ.	780
tʊ.nɘl.	tʊ.nɘl.	764
ab.	ap.	763
gɘ.ze.ɘn.	gɘ.ze.ɘn.	760
vai.tɘr.	vai.tɘr.	759
halt.	halt.	748
for.	for.	744
tsu.za.mɘn.	tsu.za.mɘn.	732
ʃtet.	ʃtet.	724
past.	past.	722
nax.her.	nax.her.	710
vɛ.rɘ.	vɛ.rɘ.	707
na.tyr.lɪx.	na.tyr.lɪx.	701
flug.tsɔyg.	fluk.tsɔyk.	701
zakt.	zakt.	685
gro.sɘ.	gro.sɘ.	683
brau.xɘn.	brau.xɘn.	676
ʊn.tɘn.	ʊn.tɘn.	666
hɪn.tɘn.	hɪn.tɘn.	665
vart.	vart.	664
za.gɘn.	za.gɘn.	657
hox.	hox.	655
darf.	darf.	648
in.	in.	637
main.	main.	634
bɛ.sɘr.	bɛ.sɘr.	633
mai.nɘ.	mai.nɘ.	623
bʊs.	bʊs.	622
rʊn.tɘr.	rʊn.tɘr.	615
erst.	erst.	609
fɛr.tɪx.	fɛr.tɪx.	608
y.bɘr.	y.bɘr.	602
fɪʃ.	fɪʃ.	597
maus.	maus.	596
da.tsu.	da.tsu.	588
dɛs.	dɛs.	586
lɔy.tɘ.	lɔy.tɘ.	579
fɔr.nɘ.	fɔr.nɘ.	574
o.ma.	o.ma.	574
la.sɘn.	la.sɘn.	569
ɔy.lɘ.	ɔy.lɘ.	566
fɪn.dɘ.	fɪn.dɘ.	564
pri.ma.	pri.ma.	562
kœn.tɘ.	kœn.tɘ.	560
kɔ.mɘn.	kɔ.mɘn.	558
makst.	makst.	556
gɘ.gɛ.sɘn.	gɘ.gɛ.sɘn.	553
hand.	hant.	547
rot.	rot.	547
bux.	bux.	542
drai.	drai.	540
vɛl.xɘ.	vɛl.xɘ.	540
dai.nɘn.	dai.nɘn.	539
ʃpi.lɘn.	ʃpi.lɘn.	538
los.	los.	530
ho.lɘn.	ho.lɘn.	529
vol.	vol.	526
di.zɘ.	di.zɘ.	525
ku.	ku.	522
klai.nɘr.	klai.nɘr.	521
ʃtyk.	ʃtyk.	520
gɘ.hørt.	gɘ.hørt.	508
ka.pʊt.	ka.pʊt.	502
hapt.	hapt.	499
haus.	haus.	498
tyr.	tyr.	495
ʃɪf.	ʃɪf.	491
pa.sirt.	pa.sirt.	489
ban.hof.	ban.hof.	488
klai.nɘs.	klai.nɘs.	488
ʊn.tɘr.	ʊn.tɘr.	485
trɪŋ.kɘn.	trɪŋ.kɘn.	483
vi.zo.	vi.zo.	482
ze.ɘ.	ze.ɘ.	480
mɔr.gɘn.	mɔr.gɘn.	480
krikt.	krikt.	477
gro.sɘn.	gro.sɘn.	471
ai.zɘn.ban.	ai.zɘn.ban.	470
dai.nɘm.	dai.nɘm.	469
za.xɘn.	za.xɘn.	468
er.lɪx.	er.lɪx.	467
ɪst.	ɪst.	466
mœx.tɘst.	mœx.tɘst.	464
na.zɘ.	na.zɘ.	464
y.bɘr.haupt.	y.bɘr.haupt.	463
gros.	gros.	462
li.bɘr.	li.bɘr.	460
bɛt.	bɛt.	452
mœx.tɘ.	mœx.tɘ.	447
gɛs.tɘrn.	gɛs.tɘrn.	443
rʊm.	rʊm.	439
far.bɘ.	far.bɘ.	438
ti.rɘ.	ti.rɘ.	436
vɔl.tɘ.	vɔl.tɘ.	435
vo.hɪn.	vo.hɪn.	435
gryn.	gryn.	433
kai.nɘn.	kai.nɘn.	433
la.ŋɘ.	la.ŋɘ.	432
ai.nɘs.	ai.nɘs.	430
ʃau.ɘn.	ʃau.ɘn.	427
laŋ.	laŋ.	426
dax.tɘ.	dax.tɘ.	425
kɔ.mɘ.	kɔ.mɘ.	424
ʃau.	ʃau.	423
tun.	tun.	422
for.zɪx.tɪx.	for.zɪx.tɪx.	420
gɘ.zakt.	gɘ.zakt.	420
zɪtst.	zɪtst.	419
mʊnd.	mʊnt.	417
kar.tɘ.	kar.tɘ.	416
ʃte.ɘn.	ʃte.ɘn.	415
bɪs.	bɪs.	415
nɪm.	nɪm.	415
gʊ.kɘ.	gʊ.kɘ.	414
has.tɘ.	has.tɘ.	414
vyr.dɘ.	vyr.dɘ.	413
da.bai.	da.bai.	406
ʊn.zɘr.	ʊn.zɘr.	405
gɘ.fa.rɘn.	gɘ.fa.rɘn.	400
au.tos.	au.tos.	395
fɪ.ʃɘ.	fɪ.ʃɘ.	392
ʃlɛxt.	ʃlɛxt.	390
dɛŋ.kɘ.	dɛŋ.kɘ.	389
bai.ʃpil.	bai.ʃpil.	385
rɛxt.	rɛxt.	385
bry.kɘ.	bry.kɘ.	383
gɛlb.	gɛlp.	383
ho.lɘ.	ho.lɘ.	379
tso.	tso.	378
i.de.	i.de.	377
vais.tɘ.	vais.tɘ.	377
tail.	tail.	374
ʃmɛkt.	ʃmɛkt.	372
bɘ.ʃtɪmt.	bɘ.ʃtɪmt.	368
tsi.ɘn.	tsi.ɘn.	366
gu.tɘ.	gu.tɘ.	366
vait.	vait.	365
gan.tsɘn.	gan.tsɘn.	364
kri.gɘn.	kri.gɘn.	362
likt.	likt.	359
lʊs.tɪx.	lʊs.tɪx.	359
fɪn.dɘst.	fɪn.dɘst.	358
gɘ.nug.	gɘ.nuk.	353
tut.	tut.	353
im.	im.	352
blau.	blau.	352
ains.	ains.	352
ɛn.tɘ.	ɛn.tɘ.	350
gan.tsɘ.	gan.tsɘ.	349
bɪld.	bɪlt.	346
ka.tsɘ.	ka.tsɘ.	346
an.dɘ.rɘs.	an.dɘ.rɘs.	344
kɪn.dɘr.gar.tɘn.	kɪn.dɘr.gar.tɘn.	342
nun.	nun.	340
krikst.	krikst.	337
ɛt.vas.	ɛt.vas.	337
felt.	felt.	337
my.dɘ.	my.dɘ.	335
bɪs.xɘn.	bɪs.xɘn.	329
fli.gɘn.	fli.gɘn.	327
kɔpf.	kɔpf.	324
gib.	gip.	320
darfst.	darfst.	319
os.tɘr.ha.zɘ.	os.tɘr.ha.zɘ.	319
kœn.tɘn.	kœn.tɘn.	314
ʃɔrn.ʃtain.	ʃɔrn.ʃtain.	314
tɪʃ.	tɪʃ.	312
ku.xɘn.	ku.xɘn.	311
brauxt.	brauxt.	309
kalt.	kalt.	308
krɛf.tɪx.	krɛf.tɪx.	308
kɪn.dɘr.	kɪn.dɘr.	304
var.	var.	302
fir.	fir.	301
gɘ.daxt.	gɘ.daxt.	300
ha.tɘ.	ha.tɘ.	299
tsait.	tsait.	299
zɛl.bɘr.	zɛl.bɘr.	297
re.pa.ri.rɘn.	re.pa.ri.rɘn.	295
tsi.	tsi.	294
manx.mal.	manx.mal.	293
mo.mɛnt.	mo.mɛnt.	293
varst.	varst.	292
ho.zɘ.	ho.zɘ.	292
gro.sɘs.	gro.sɘs.	291
da.fyr.	da.fyr.	288
e.ɘr.	e.ɘr.	287
di.zɘs.	di.zɘs.	286
ro.tɘ.	ro.tɘ.	286
hun.	hun.	286
drau.sɘn.	drau.sɘn.	284
ɔr.dɘnt.lɪx.	ɔr.dɘnt.lɪx.	284
fain.	fain.	283
kar.tɘn.	kar.tɘn.	281
tat.zɛx.lɪx.	tat.zɛx.lɪx.	281
blos.	blos.	280
ʊn.zɘ.rɘ.	ʊn.zɘ.rɘ.	280
gro.sɘr.	gro.sɘr.	279
kne.tɘ.	kne.tɘ.	278
dai.nɘr.	dai.nɘr.	277
au.gɘn.	au.gɘn.	275
o.nɘ.	o.nɘ.	275
mʊs.tɘ.	mʊs.tɘ.	274
