SEG	ant	back	cg	cons	cont	cor	delrel	distr	hi	lab	lat	lo	long	nas	round	sg	son	strid	syl	tense	velaric	voi
a	?	-	-	-	+	-	-	?	-	-	-	+	-	-	-	-	+	?	+	+	-	+
b	+	-	-	+	-	-	-	?	-	+	-	-	-	-	-	-	-	?	-	?	-	+
d	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	?	-	?	-	+
e	?	-	-	-	+	-	-	?	-	-	-	-	-	-	-	-	+	?	+	+	-	+
f	+	-	-	+	+	-	-	?	-	+	-	-	-	-	-	-	-	+	-	?	-	-
g	-	+	-	+	-	-	-	?	+	-	-	-	-	-	-	-	-	?	-	?	-	+
h	-	-	-	+	+	-	-	?	-	-	-	-	-	-	-	-	+	?	-	?	-	-
i	?	-	-	-	+	-	-	?	+	-	-	-	-	-	-	-	+	?	+	+	-	+
j	-	-	-	-	+	-	-	?	+	-	-	-	-	-	-	-	+	?	-	?	-	+
k	-	+	-	+	-	-	-	?	+	-	-	-	-	-	-	-	-	?	-	?	-	-
l	+	-	-	+	+	+	-	-	-	-	+	-	-	-	-	-	+	?	-	?	-	+
m	+	-	-	+	-	-	-	?	-	+	-	-	-	+	-	-	+	?	-	?	-	+
n	+	-	-	+	-	+	-	-	-	-	-	-	-	+	-	-	+	?	-	?	-	+
o	?	+	-	-	+	-	-	?	-	-	-	-	-	-	+	-	+	?	+	+	-	+
p	+	-	-	+	-	-	-	?	-	+	-	-	-	-	-	-	-	?	-	?	-	-
r	+	?	-	+	+	+	?	-	?	-	-	?	-	-	-	-	+	?	-	?	-	+
s	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	?	-	?	-	-
t	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	?	-	?	-	-
u	?	+	-	-	+	-	-	?	+	+	-	-	-	-	+	-	+	?	+	+	-	+
v	+	-	-	+	+	-	-	?	-	+	-	-	-	-	-	-	-	+	-	?	-	+
x	-	+	-	+	+	-	-	?	+	-	-	-	-	-	-	-	-	?	-	?	-	-
y	?	-	-	-	+	-	-	?	+	+	-	-	-	-	+	-	+	?	+	+	-	+
z	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	?	-	?	-	+
ø	?	-	-	-	+	-	-	?	-	-	-	-	-	-	+	-	+	?	+	+	-	+
ŋ	-	+	-	+	-	-	-	?	+	-	-	-	-	+	-	-	+	?	-	?	-	+
œ	?	-	-	-	+	-	-	?	-	-	-	-	-	-	+	-	+	?	+	-	-	+
ɑ	?	+	-	-	+	-	?	?	-	-	-	+	-	-	-	-	+	?	+	+	-	+
ɒ	?	+	-	-	+	-	-	?	-	-	-	+	-	-	+	-	+	?	+	+	-	+
ɔ	?	+	-	-	+	-	-	?	-	-	-	-	-	-	+	-	+	?	+	-	-	+
ɘ	?	+	-	-	+	-	-	?	-	-	-	-	-	-	-	-	+	?	+	-	-	+
ɛ	?	-	-	-	+	-	-	?	-	-	-	-	-	-	-	-	+	?	+	-	-	+
ɪ	?	-	-	-	+	-	-	?	+	-	-	-	-	-	-	-	+	?	+	-	-	+
ʃ	-	-	-	+	+	+	-	+	-	-	-	-	-	-	-	-	-	?	-	?	-	-
ʊ	?	+	-	-	+	-	-	?	+	-	-	-	-	-	+	-	+	?	+	-	-	+
ʒ	-	-	-	+	+	+	-	+	-	-	-	-	-	-	-	-	-	?	-	?	-	+
