UF	SF	Freq
klubɨ	klubɨ	1
tɕɛkavɨ	tɕɛkavɨ	1
kɔlɛnda	kɔlɛnda	1
razɨ	razɨ	1
talɛʐɛ	talɛʐɛ	1
grɨʑɛʂ	grɨʑɛʂ	1
bʐɛgu	bʐɛgu	1
dvɔrɨ	dvɔrɨ	1
bɔlɛ	bɔlɛ	1
pɔkɔjɛ	pɔkɔjɛ	1
stɔwɨ	stɔwɨ	1
bɔbɨ	bɔbɨ	1
rɔvɨ	rɔvɨ	1
lɔdɨ	lɔdɨ	1
dɔvɔzɨ	dɔvɔzɨ	1
nɔʐɛ	nɔʐɛ	1
rɔgi	rɔgi	1
ʐur	ʐur	1
ʐurɨ	ʐurɨ	1
ul	ul	1
ulɛ	ulɛ	1
vuj	vuj	1
vujɛ	vujɛ	1
mtiw	mtiw	1
mtiwɨ	mtiwɨ	1
tʂɔp	tʂɔp	1
tʂɔpɨ	tʂɔpɨ	1
kɔt	kɔt	1
kɔtɨ	kɔtɨ	1
vwɔs	vwɔs	1
vwɔsɨ	vwɔsɨ	1
wɔɕ	wɔɕ	1
wɔɕɛ	wɔɕɛ	1
sɔk	sɔk	1
sɔkɨ	sɔkɨ	1
grɔx	grɔx	1
grɔxɨ	grɔxɨ	1
dɔm	dɔm	1
dɔmɨ	dɔmɨ	1
tʂɔn	tʂɔn	1
tʂɔnɨ	tʂɔnɨ	1
kɔɲ	kɔɲ	1
kɔɲɛ	kɔɲɛ	1
klub	klup	1
tɕɛkav	tɕɛkaf	1
kɔlɛnd	kɔlɛnt	1
raz	ras	1
talɛʐ	talɛʂ	1
grɨʑ	grɨɕ	1
bʐɛg	bʐɛk	1
dvɔr	dvur	1
bɔl	bul	1
pɔkɔj	pɔkuj	1
stɔw	stuw	1
bɔb	bup	1
rɔv	ruf	1
lɔd	lut	1
dɔvɔz	dɔvus	1
nɔʐ	nuʂ	1
rɔg	ruk	1
